symbol,trades,wins,losses,win_rate_pct,total_pnl_usd,avg_pnl_pct,profit_factor,expectancy_pct,decision,rule_reason
AGT/USDT,1,0,1,0.0,-0.12913,-1.075019,0.0,-1.075019,OBSERVAR,Muestra insuficiente (<3)
ILV/USDT,1,0,1,0.0,-0.135379,-1.129947,0.0,-1.129947,OBSERVAR,Muestra insuficiente (<3)
GUA/USDT,1,0,1,0.0,-0.139637,-1.160115,0.0,-1.160115,OBSERVAR,Muestra insuficiente (<3)
0G/USDT,2,0,2,0.0,-0.141594,-0.589311,0.0,-0.589311,OBSERVAR,Muestra insuficiente (<3)
XPL/USDT,2,0,2,0.0,-0.145924,-0.608016,0.0,-0.608016,OBSERVAR,Muestra insuficiente (<3)
ADA/USDT,2,0,2,0.0,-0.154391,-0.645617,0.0,-0.645617,OBSERVAR,Muestra insuficiente (<3)
DEGO/USDT,1,0,1,0.0,-0.184455,-1.532,0.0,-1.532,OBSERVAR,Muestra insuficiente (<3)
TRIA/USDT,2,0,2,0.0,-0.218197,-0.647503,0.0,-0.647503,OBSERVAR,Muestra insuficiente (<3)
PYTH/USDT,2,0,2,0.0,-0.243217,-1.008916,0.0,-1.008916,OBSERVAR,Muestra insuficiente (<3)
RLS/USDT,2,0,2,0.0,-0.245283,-1.019998,0.0,-1.019998,OBSERVAR,Muestra insuficiente (<3)
KERNEL/USDT,2,0,2,0.0,-0.249828,-1.046791,0.0,-1.046791,OBSERVAR,Muestra insuficiente (<3)
LAYER/USDT,2,0,2,0.0,-0.25004,-1.042632,0.0,-1.042632,OBSERVAR,Muestra insuficiente (<3)
BOB/USDT,2,0,2,0.0,-0.253245,-1.05569,0.0,-1.05569,OBSERVAR,Muestra insuficiente (<3)
COIN/USDT,2,0,2,0.0,-0.254303,-1.060256,0.0,-1.060256,OBSERVAR,Muestra insuficiente (<3)
ARC/USDT,2,0,2,0.0,-0.270412,-1.12964,0.0,-1.12964,OBSERVAR,Muestra insuficiente (<3)
JOE/USDT,2,0,2,0.0,-0.3197,-1.036683,0.0,-1.036683,OBSERVAR,Muestra insuficiente (<3)
MORPHO/USDT,1,0,1,0.0,-0.363352,-3.025706,0.0,-3.025706,OBSERVAR,Muestra insuficiente (<3)
CRCL/USDT,2,0,2,0.0,-0.367319,-1.531061,0.0,-1.531061,OBSERVAR,Muestra insuficiente (<3)
LPT/USDT,2,0,2,0.0,-0.508153,-1.06564,0.0,-1.06564,OBSERVAR,Muestra insuficiente (<3)
ESP/USDT,1,0,1,0.0,-0.91154,-7.597036,0.0,-7.597036,OBSERVAR,Muestra insuficiente (<3)
BR/USDT,1,0,1,0.0,-1.963128,-16.383854,0.0,-16.383854,OBSERVAR,Muestra insuficiente (<3)
龙虾/USDT,1,0,1,0.0,-3.599736,-4.642561,0.0,-4.642561,OBSERVAR,Muestra insuficiente (<3)
NOM/USDT,3,3,0,100.0,0.334301,0.303205,0,0.303205,BLOQUEAR,PF/WR/expectancy debiles
SIREN/USDT,3,3,0,100.0,0.124339,0.345545,0,0.345545,BLOQUEAR,PF/WR/expectancy debiles
GRIFFAIN/USDT,3,3,0,100.0,0.120183,0.333757,0,0.333757,BLOQUEAR,PF/WR/expectancy debiles
COS/USDT,3,3,0,100.0,0.111997,0.309571,0,0.309571,BLOQUEAR,PF/WR/expectancy debiles
ROBO/USDT,3,3,0,100.0,0.109921,0.305484,0,0.305484,BLOQUEAR,PF/WR/expectancy debiles
SWARMS/USDT,3,2,1,66.67,0.091816,-0.091177,1.703938,-0.091177,BLOQUEAR,PF/WR/expectancy debiles
ONT/USDT,3,1,2,33.33,-0.001752,0.042055,0.971838,0.042055,BLOQUEAR,PF/WR/expectancy debiles
NIL/USDT,3,2,1,66.67,-0.006396,-0.003031,0.955688,-0.003031,BLOQUEAR,PF/WR/expectancy debiles
ON/USDT,3,2,1,66.67,-0.012834,-0.034226,0.85951,-0.034226,BLOQUEAR,PF/WR/expectancy debiles
HOOD/USDT,3,1,2,33.33,-0.016984,-0.04719,0.618628,-0.04719,BLOQUEAR,PF/WR/expectancy debiles
CHZ/USDT,3,1,2,33.33,-0.017125,-0.047418,0.514817,-0.047418,BLOQUEAR,PF/WR/expectancy debiles
ORCA/USDT,3,1,2,33.33,-0.017489,-0.048636,0.489998,-0.048636,BLOQUEAR,PF/WR/expectancy debiles
ETH/USDT,3,0,3,0.0,-0.035131,-0.109331,0.0,-0.109331,BLOQUEAR,PF/WR/expectancy debiles
SOLV/USDT,3,2,1,66.67,-0.038177,-0.10662,0.707493,-0.10662,BLOQUEAR,PF/WR/expectancy debiles
GAS/USDT,3,2,1,66.67,-0.041423,-0.116717,0.664634,-0.116717,BLOQUEAR,PF/WR/expectancy debiles
